description,main_location,voltage_kv,route_codes
Bramford 132kV  - BURY GRID tee STOWMARKET GRID 2 (EEPK  No. 2),Bramford 132kV,132,['EEPK  No. 2']
Bramford 132kV - BURY GRID tee STOWMARKET GRID 1 (EEPK  No. 1),Bramford 132kV,132,['EEPK  No. 1']
Lawford 132kV -  BRAMFORD GRID tee IPSWICH GRID 1 (PEC  No.1),Lawford 132kV,132,['PEC  No.1']
Lawford 132kV -  CLACTON GRID 2 (PYA  No.2),Lawford 132kV,132,['PYA  No.2']
Lawford 132kV - BRAMFORD GRID 4 (PJ),Lawford 132kV,132,['PJ']
Lawford 132kV - SUM PYA Route,Lawford 132kV,132,[]
ARBURY GRID 132/33kV - Milton 2 (PMK2),ARBURY GRID 132/33kV,33,['PMK2']
BURWELL MAIN GRID 132kV - SGT2,BURWELL MAIN GRID 132kV,132,[]
EATON SOCON GRID 132kV - Corby Grid tee Huntingdon Grid 2 (PFZ route),EATON SOCON GRID 132kV,132,['PFZ route']
EATON SOCON GRID 132kV - Corby Grid tee Huntingdon Grid 1 (PFZ route),EATON SOCON GRID 132kV,132,['PFZ route']
Sall Grid 132kV - Eatlham Tee Sheringham 2,Sall Grid 132kV,132,[]
Trowse Grid 132kV - Gt Yarmouth PWR STN Tee Ilketshall 2,Trowse Grid 132kV,132,[]
Trowse Grid 132kV - Gt Yarmouth PWR STN Tee Ilketshall 1,Trowse Grid 132kV,132,[]
Walpole 132kV - Kings Lynn Pwr Stn 3 tee Palm Paper Intake 9 (PLG route no.1),Walpole 132kV,132,['PLG route no.1']
Walpole 132kV - Kings Lynn Pwr Stn 3 / Palm Paper 6 (PLG route no.2),Walpole 132kV,132,['PLG route no.2']
Ilmer Grid - Amersham Main Circuit 2 (AI route),Ilmer Grid,Unknown,['AI route']
Eye Primary 33kV - Diss Grid/ Cotton 1 - SUM,Eye Primary 33kV,33,[]
Stowmarket Grid 132/33kV - SUM,Stowmarket Grid 132/33kV,33,[]
Thetford Grid 132/33kV - GT4,Thetford Grid 132/33kV,33,[]
Clacton Grid 132/33kV GT1,Clacton Grid 132/33kV GT1,33,[]
Clacton Grid 132/33kV GT2,Clacton Grid 132/33kV GT2,33,[]
Clacton Grid 132/33kV Sum,Clacton Grid 132/33kV Sum,33,[]
HISTON GRID 132/33kV - Landbeach SW/STN1,HISTON GRID 132/33kV,33,[]
HISTON GRID 132/33kV - GT3,HISTON GRID 132/33kV,33,[]
HISTON GRID 132/33kV - Landbeach SW/STN2,HISTON GRID 132/33kV,33,[]
HISTON GRID 132/33kV - Sum,HISTON GRID 132/33kV,33,[]
