constraint_description,constraint_type,main_location,secondary_location,matched_site,latitude,longitude,latitude_2,longitude_2,geolocation_source,geolocation_method,constraint_id
Bramford 132kV  - BURY GRID tee STOWMARKET GRID 2 (EEPK  No. 2),transmission_circuit,BURY GRID,STOWMARKET GRID 2,,51.669452033301894,0.6807170255896495,52.171223636163,1.01821448090138,grid_sites,transmission_midpoint,0C1068_919-CCT_CONSTR-CCT
Bramford 132kV - BURY GRID tee STOWMARKET GRID 1 (EEPK  No. 1),transmission_circuit,BURY GRID,STOWMARKET GRID 1,,51.669452033301894,0.6807170255896495,52.171223636163,1.01821448090138,grid_sites,transmission_midpoint,0C1068_934-CCT_CONSTR-CCT
Lawford 132kV -  BRAMFORD GRID tee IPSWICH GRID 1 (PEC  No.1),transmission_circuit,BRAMFORD GRID,IPSWICH GRID 1,,52.06299823595335,1.099407792730795,52.05576103445,1.13603519740954,grid_sites,transmission_midpoint,0C3048_912-CCT_CONSTR-CCT
Lawford 132kV -  CLACTON GRID 2 (PYA  No.2),substation,LAWFORD GRID,,LAWFORD GRID 132KV,51.9166973149882,1.0187895235319,,,grid_sites,substation_direct,0C3048_936-CCT~O_CONSTR-CCT
Lawford 132kV - BRAMFORD GRID 4 (PJ),substation,LAWFORD GRID,,LAWFORD GRID 132KV,51.9166973149882,1.0187895235319,,,grid_sites,substation_direct,0C3048_938-CCT~F_CONSTR-CCT
Lawford 132kV - SUM PYA Route,aggregate,LAWFORD,,SEAFORD,50.7743872554242,0.101224173934288,,,grid_sites,substation_direct,0C3048_SS_CONSTR-SUM~PYA
ARBURY GRID 132/33kV - Milton 2 (PMK2),substation,ARBURY GRID GRID,,ARBURY GRID 132KV,52.2351409296593,0.130979173795973,,,grid_sites,substation_direct,0C4001_902-CCT1_CONSTR-CCT
BURWELL MAIN GRID 132kV - SGT2,transformer,BURWELL MAIN GRID GRID,,BURWELL MAIN GRID 132KV,52.2806027360161,0.313046568036715,,,grid_sites,substation_direct,0C4026_932-SGT2_CONSTR-CCT
EATON SOCON GRID 132kV - Corby Grid tee Huntingdon Grid 2 (PFZ route),transmission_circuit,CORBY GRID,HUNTINGDON GRID 2,,51.8404670109188,-0.148371359470913,52.3411055103611,-0.183618102378877,grid_sites,transmission_midpoint,0C4076_902-BS2_CONSTR-CCT
EATON SOCON GRID 132kV - Corby Grid tee Huntingdon Grid 1 (PFZ route),transmission_circuit,CORBY GRID,HUNTINGDON GRID 1,,51.8404670109188,-0.148371359470913,52.3411055103611,-0.183618102378877,grid_sites,transmission_midpoint,0C4076_904-BS4_CONSTR-CCT
Sall Grid 132kV - Eatlham Tee Sheringham 2,transmission_circuit,EATLHAM,SHERINGHAM 2,,52.6290809687739,1.22715148476072,,,grid_sites,,0C5015_935-CCT_CONSTR-CCT
Trowse Grid 132kV - Gt Yarmouth PWR STN Tee Ilketshall 2,transmission_circuit,GT YARMOUTH PWR STN,ILKETSHALL 2,,52.51503554564825,1.619964936432775,52.4384684288347,1.5089716224836,grid_sites,transmission_midpoint,0C5084_914-CCT_CONSTR-CCT
Trowse Grid 132kV - Gt Yarmouth PWR STN Tee Ilketshall 1,transmission_circuit,GT YARMOUTH PWR STN,ILKETSHALL 1,,52.51503554564825,1.619964936432775,52.4384684288347,1.5089716224836,grid_sites,transmission_midpoint,0C5084_933-CCT_CONSTR-CCT
Walpole 132kV - Kings Lynn Pwr Stn 3 tee Palm Paper Intake 9 (PLG route no.1),transmission_circuit,KINGS LYNN PWR STN 3,PALM PAPER INTAKE 9,,52.729031691498946,0.389932587572982,52.7265739141368,0.376927143136463,grid_sites,transmission_midpoint,0C6047_913-CCT_CONSTR-CCT
Ilmer Grid - Amersham Main Circuit 2 (AI route),substation,ILMER GRID,,LEIGH GRID,51.20213495173,-0.217255557020997,,,grid_sites,substation_direct,0C8048_913-CCT_CONSTR-CCT
Eye Primary 33kV - Diss Grid/ Cotton 1 - SUM,aggregate,EYE PRIMARY GRID,,EYE PRIMARY 33KV,52.3210496999678,1.16064336173677,,,grid_sites,substation_direct,0D1014_936-CCT_CONSTR-SUM
Stowmarket Grid 132/33kV - SUM,aggregate,STOWMARKET GRID GRID,,STOWMARKET GRID 132KV,52.171223636163,1.01821448090138,,,grid_sites,substation_direct,0D1018_SS_CONSTR-SUM
Thetford Grid 132/33kV - GT4,transformer,THETFORD GRID GRID,,THETFORD GRID 33/11KV,52.3872190958013,0.736478402750066,,,grid_sites,substation_direct,0D1056_931-GT4_CONSTR-CCT
Clacton Grid 132/33kV GT1,transformer,CLACTON GRID GRID,,CLACTON GRID 132KV,51.8261259348637,1.17921285923585,,,grid_sites,substation_direct,0D3027_916-GT1_CONSTR-CCT
