site_id,events_count,total_hours,total_kwh,median_event_hours,p90_event_hours,median_peak_ratio,export_capacity_kW,gsp,bsp,primary,customer_name,customer_site,latitude,longitude,energy_source1,curtailed_kwh_per_MW,events_per_month,composite_index
THE_ABBEY_GROUP_FDG_A_14_HONEYSOME_ROAD_WALPOLE,2397,2865.575736111111,12194865.368349142,0.18388888888888888,1.2371666666666663,0.99,5000.0,WALPOLE,MARCH GRID 33KV,,THE ABBEY GROUP,FDG A-14 HONEYSOME ROAD,52.4567992423764,0.0333654946231978,SOLAR,2438973.0736698285,1.0,0.9550351631021834
SOLARCENTURY_HOLDINGS_LIMITED_FDG_B_12_LAND_NEAR_PERCH_LAKE_NORWICH_MAIN,352,1989.527846388889,8772155.366101773,0.46055555555555555,13.601777777777782,1.0025974025974025,3850.0,NORWICH MAIN,THORPE GRID 33KV,,SOLARCENTURY HOLDINGS LIMITED,FDG B-12 LAND NEAR PERCH LAKE,52.7777269552953,1.22776395922146,SOLAR,2278481.913273188,0.96875,0.6002791023757645
ECOGEN_LIMITED_FDG_A_02_BOARDINGHOUSE_WALPOLE,694,1786.5717044444445,11812647.945225839,0.1622222222222222,5.0340000000000105,0.7890758384146341,10250.0,WALPOLE,MARCH GRID 33KV,,ECOGEN LIMITED,FDG A-02 BOARDINGHOUSE,52.5234396935858,0.0377687381469841,WIND ONSHORE,1152453.4580708134,0.84375,0.5649824270884993
LOW_CARBON_ANM_PEMBERTON_SOLAR_FARM_RAYLEIGH,1370,1549.8028405555556,11562951.509082014,0.16527777777777777,1.5000833333333377,0.30031435546874996,20000.0,RAYLEIGH,MALDON GRID 33KV,,LOW CARBON,(ANM) PEMBERTON SOLAR FARM,51.7057731191455,0.649967861048468,SOLAR,578147.5754541007,0.25,0.5487728624241941
FORENERGY_FDG_A_04_BURNT_HOUSE_SIDINGS_WALPOLE,2565,920.0887533333333,4073625.439914989,0.06166666666666667,0.3761666666666671,0.63745703125,4000.0,WALPOLE,MARCH GRID 33KV,,FORENERGY,FDG A-04 BURNT HOUSE SIDINGS,52.5300961672196,-0.0260559593287761,SOLAR,1018406.3599787472,0.96875,0.5083145872628609
AGR_PEAK_POWER_LTD_FDG_F_04_CHEAR_FARM_BURWELL,666,832.0364691666666,10659946.520526001,0.27166666666666667,3.17125,0.974778564453125,15000.0,BURWELL,HISTON GRID 33KV,,AGR PEAK POWER LTD,FDG F-04 CHEAR FARM,52.3281432459572,0.202150218963978,FOSSIL - GAS,710663.1013684,0.96875,0.41936561753309237
HALLMARK_POWER_LTD_FDG_A_19_CHATTERIS_RD_1_CHATTERIS_RD_2_WALPOLE,1147,2371.2062075,691599.3109434607,0.09916666666666667,1.015666666666669,0.5,1000.0,WALPOLE,MARCH GRID 33KV,CHATTERIS PRIMARY 11KV,HALLMARK POWER LTD,FDG A-19 CHATTERIS RD 1 / CHATTERIS RD 2,52.4247941265028,0.0236704210245393,WIND ONSHORE,691599.3109434607,1.0,0.3787747465287907
WESTWOOD_POWER_STRASBOURG_STREET_SELLINDGE_SGT2_3_RICHBOROUGH_SGT,45,3234.1562144444447,3966962.3374023587,0.8755555555555555,238.83538888888899,1.0,21050.0,SELLINDGE SGT2 & 3 & RICHBOROUGH SGT,THANET GRID 33KV,,WESTWOOD POWER,STRASBOURG STREET,51.3690942304745,1.38880853928518,FOSSIL - GAS,188454.2678100883,0.5,0.35334836516682816
LIGHTSOURCE_RENEWABLE_ENERGY_LTD_FDG_B_29_LAND_SOUTH_OF_BRICK_KILN_LANE_NORWICH_MAIN,60,1857.9924216666666,1094232.1591268496,3.4437499999999996,21.685055555555557,0.9066666666666666,3750.0,NORWICH MAIN,TROWSE GRID 33KV,MULBARTON PRIMARY 11KV,LIGHTSOURCE RENEWABLE ENERGY LTD,FDG B-29 LAND SOUTH OF BRICK KILN LANE,52.5530294412301,1.25225360656196,SOLAR,291795.24243382656,0.65625,0.1999106432585051
ABBEY_GROUP_CAMBRIDGESHIRE_LTD_FDG_A_01_RAMSEY_WINDFARM_NO_2_WALPOLE,571,437.3637733333333,2744426.4000213635,0.33861111111111114,1.7586111111111111,0.9,8000.0,WALPOLE,PETERBOROUGH CENTRAL 33KV,,ABBEY GROUP CAMBRIDGESHIRE LTD,FDG A-01 RAMSEY WINDFARM NO 2,52.4610033666658,-0.120205530358042,WIND ONSHORE,343053.30000267044,0.6875,0.1791701747614153
