site_id,weekday,events_count,total_hours,total_kwh
AGR_PEAK_POWER_LTD_FDG_F_04_CHEAR_FARM_BURWELL,0,21,59.69277777777778,858117.9464394802
AGR_PEAK_POWER_LTD_FDG_F_04_CHEAR_FARM_BURWELL,1,22,14.0475,178720.34928894043
AGR_PEAK_POWER_LTD_FDG_F_04_CHEAR_FARM_BURWELL,2,29,40.051944444444445,545007.9524858941
AGR_PEAK_POWER_LTD_FDG_F_04_CHEAR_FARM_BURWELL,3,30,64.06817277777778,905837.8165687053
AGR_PEAK_POWER_LTD_FDG_F_04_CHEAR_FARM_BURWELL,4,25,33.89027777777778,462136.56814242894
AGR_PEAK_POWER_LTD_FDG_F_04_CHEAR_FARM_BURWELL,5,15,78.79972222222221,1145936.9914911906
AGR_PEAK_POWER_LTD_FDG_F_04_CHEAR_FARM_BURWELL,6,25,45.087177777777775,632235.5565391032
ANESCO_ANM_BISHOPSTONE_AMERSHAM,1,5,4.051666666666667,52871.955555555556
ANESCO_ANM_BISHOPSTONE_AMERSHAM,3,3,1.195481111111111,10555.81184733073
ANESCO_ANM_BISHOPSTONE_AMERSHAM,4,3,6.846666666666666,100919.81740814207
ANESCO_ANM_BISHOPSTONE_AMERSHAM,5,2,12.008333333333333,72053.18333333333
ANESCO_LTD_ANM_N_A_WILSTEAD_ROAD_SUNDON,0,9,80.2075,198471.01666666666
ANESCO_LTD_ANM_N_A_WILSTEAD_ROAD_SUNDON,1,3,19.77611111111111,65595.44444444444
ANESCO_LTD_ANM_N_A_WILSTEAD_ROAD_SUNDON,2,5,28.365555555555552,94652.22222222222
ANESCO_LTD_ANM_N_A_WILSTEAD_ROAD_SUNDON,3,9,48.13277055555555,85538.41666666667
ANESCO_LTD_ANM_N_A_WILSTEAD_ROAD_SUNDON,4,7,49.97298444444444,87576.47777777778
ANESCO_LTD_ANM_N_A_WILSTEAD_ROAD_SUNDON,5,8,1494.6813888888887,288027.45
ANESCO_LTD_ANM_N_A_WILSTEAD_ROAD_SUNDON,6,7,43.96583333333333,60344.927777777775
ANGLIAN_WATER_SERVICES_LTD_FLAG_FEN_SEWAGE_TREATMENT_WORKS_WALPOLE,0,749,5612.424435555556,26074022.705220737
ANGLIAN_WATER_SERVICES_LTD_FLAG_FEN_SEWAGE_TREATMENT_WORKS_WALPOLE,1,750,3622.0199888888887,16677694.248405883
ANGLIAN_WATER_SERVICES_LTD_FLAG_FEN_SEWAGE_TREATMENT_WORKS_WALPOLE,2,718,6761.627947777778,19614716.172503848
ANGLIAN_WATER_SERVICES_LTD_FLAG_FEN_SEWAGE_TREATMENT_WORKS_WALPOLE,3,928,4752.53345,20159395.991440747
ANGLIAN_WATER_SERVICES_LTD_FLAG_FEN_SEWAGE_TREATMENT_WORKS_WALPOLE,4,808,4498.7864922222225,16432953.632008651
ANGLIAN_WATER_SERVICES_LTD_FLAG_FEN_SEWAGE_TREATMENT_WORKS_WALPOLE,5,946,3648.53875,14397910.64582592
ANGLIAN_WATER_SERVICES_LTD_FLAG_FEN_SEWAGE_TREATMENT_WORKS_WALPOLE,6,997,3337.9235400000002,13172688.209299173
ANGLIAN_WATER_SERVICES_LTD_HEIGHAM_WATER_TREATMENT_WORKS_NORWICH_MAIN,0,6,72.73666666666666,39900.800649439494
ANGLIAN_WATER_SERVICES_LTD_HEIGHAM_WATER_TREATMENT_WORKS_NORWICH_MAIN,1,8,37.15374722222222,33357.744984198675
ANGLIAN_WATER_SERVICES_LTD_HEIGHAM_WATER_TREATMENT_WORKS_NORWICH_MAIN,2,10,414.83944444444444,223370.33180094403
ANGLIAN_WATER_SERVICES_LTD_HEIGHAM_WATER_TREATMENT_WORKS_NORWICH_MAIN,3,3,63.06888888888889,40709.72776516384
ANGLIAN_WATER_SERVICES_LTD_HEIGHAM_WATER_TREATMENT_WORKS_NORWICH_MAIN,4,4,5.997777777777777,6047.888888888889
ANGLIAN_WATER_SERVICES_LTD_HEIGHAM_WATER_TREATMENT_WORKS_NORWICH_MAIN,5,1,28.67222222222222,14336.111111111111
ANGLIAN_WATER_SERVICES_LTD_HEIGHAM_WATER_TREATMENT_WORKS_NORWICH_MAIN,6,2,11.769166666666667,10558.009572783576
ANGLIAN_WATER_SERVICES_LTD_WHITLINGHAM_SEWAGE_WORKS_NORWICH_MAIN,0,35,5.398333333333333,6487.884936794705
ANGLIAN_WATER_SERVICES_LTD_WHITLINGHAM_SEWAGE_WORKS_NORWICH_MAIN,1,44,4.7747222222222225,12162.288653428819
ANGLIAN_WATER_SERVICES_LTD_WHITLINGHAM_SEWAGE_WORKS_NORWICH_MAIN,2,3,3.7676675,56470.13888888889
ANGLIAN_WATER_SERVICES_LTD_WHITLINGHAM_SEWAGE_WORKS_NORWICH_MAIN,3,2,0.3658333333333334,5015.488391113281
ANGLIAN_WATER_SERVICES_LTD_WHITLINGHAM_SEWAGE_WORKS_NORWICH_MAIN,4,27,4.7299999999999995,33798.744112141925
ANGLIAN_WATER_SERVICES_LTD_WHITLINGHAM_SEWAGE_WORKS_NORWICH_MAIN,5,26,2.4119444444444444,9090.662451171875
ANGLIAN_WATER_SEWAGE_TREATMENT_WORKS_PHS_II_BRAMFORD,0,15,6.954166666666667,14013.691324564616
ANGLIAN_WATER_SEWAGE_TREATMENT_WORKS_PHS_II_BRAMFORD,1,12,8.5925,15231.869723815918
ANGLIAN_WATER_SEWAGE_TREATMENT_WORKS_PHS_II_BRAMFORD,2,5,2.2105555555555556,3433.597228088379
ANGLIAN_WATER_SEWAGE_TREATMENT_WORKS_PHS_II_BRAMFORD,3,10,15.815833333333332,33652.262491590714
ANGLIAN_WATER_SEWAGE_TREATMENT_WORKS_PHS_II_BRAMFORD,4,13,10.849006666666666,23350.933612183067
ANGLIAN_WATER_SEWAGE_TREATMENT_WORKS_PHS_II_BRAMFORD,5,45,76.32225277777778,175103.97818753135
ANGLIAN_WATER_SEWAGE_TREATMENT_WORKS_PHS_II_BRAMFORD,6,50,60.132533055555555,136870.56644487169
BRIAR_CHEMICALS_LIMITED_AVENTIS_AGRICULTURAL_LTD_EXPORT_NORWICH_MAIN,0,5,2.6516666666666664,10317.457678519353
BRIAR_CHEMICALS_LIMITED_AVENTIS_AGRICULTURAL_LTD_EXPORT_NORWICH_MAIN,1,5,1.6636111111111112,5893.128540022108
BRIAR_CHEMICALS_LIMITED_AVENTIS_AGRICULTURAL_LTD_EXPORT_NORWICH_MAIN,2,5,5.188188888888889,22656.15611741808
BRIAR_CHEMICALS_LIMITED_AVENTIS_AGRICULTURAL_LTD_EXPORT_NORWICH_MAIN,3,18,20.072777777777777,84520.97554166158
BRIAR_CHEMICALS_LIMITED_AVENTIS_AGRICULTURAL_LTD_EXPORT_NORWICH_MAIN,4,4,2.825277777777778,12503.446738213433
BRIAR_CHEMICALS_LIMITED_AVENTIS_AGRICULTURAL_LTD_EXPORT_NORWICH_MAIN,5,1,2.0155555555555553,2478.697501627604
BRIAR_CHEMICALS_LIMITED_AVENTIS_AGRICULTURAL_LTD_EXPORT_NORWICH_MAIN,6,2,1.4108333333333332,5369.977277628579
FORENERGY_LTD_RADICAL_FARM_SOLAR_PHS_2_BURWELL,0,20,12.370833333333334,85775.30448316787
FORENERGY_LTD_RADICAL_FARM_SOLAR_PHS_2_BURWELL,1,23,18.470822777777776,318675.4013406372
FORENERGY_LTD_RADICAL_FARM_SOLAR_PHS_2_BURWELL,2,28,12.154722222222222,158102.14010779487
FORENERGY_LTD_RADICAL_FARM_SOLAR_PHS_2_BURWELL,3,42,41.66388888888889,314372.3390853543
FORENERGY_LTD_RADICAL_FARM_SOLAR_PHS_2_BURWELL,4,44,78.20816833333333,220941.816222975
FORENERGY_LTD_RADICAL_FARM_SOLAR_PHS_2_BURWELL,5,88,30.205055833333333,271029.1297564189
FORENERGY_LTD_RADICAL_FARM_SOLAR_PHS_2_BURWELL,6,75,41.35152194444445,114891.8537902832
GEW2_LTD_ASHINGDON_CANEWDON_PV_ULVERSTON_ROCHFORD_RAYLEIGH,0,18,22.391666666666666,129381.08605678983
GEW2_LTD_ASHINGDON_CANEWDON_PV_ULVERSTON_ROCHFORD_RAYLEIGH,1,14,37.86694444444444,199178.0425427246
GEW2_LTD_ASHINGDON_CANEWDON_PV_ULVERSTON_ROCHFORD_RAYLEIGH,2,15,39.12694444444445,259464.20337809244
GEW2_LTD_ASHINGDON_CANEWDON_PV_ULVERSTON_ROCHFORD_RAYLEIGH,3,16,32.220555555555556,301906.2619643826
GEW2_LTD_ASHINGDON_CANEWDON_PV_ULVERSTON_ROCHFORD_RAYLEIGH,4,15,26.236111111111114,250591.107123074
GEW2_LTD_ASHINGDON_CANEWDON_PV_ULVERSTON_ROCHFORD_RAYLEIGH,5,15,34.429722222222225,331219.59931762697
GEW2_LTD_ASHINGDON_CANEWDON_PV_ULVERSTON_ROCHFORD_RAYLEIGH,6,15,22.712500000000002,214269.98312845867
GRIDSERVE_BROADLAND_GATE_NORWICH_MAIN,0,13,47.914722222222224,188243.7342760171
GRIDSERVE_BROADLAND_GATE_NORWICH_MAIN,1,27,53.63286222222222,265499.5646594061
GRIDSERVE_BROADLAND_GATE_NORWICH_MAIN,2,18,23.7925,87645.84169738769
GRIDSERVE_BROADLAND_GATE_NORWICH_MAIN,3,24,84.33480416666667,403091.32256564667
GRIDSERVE_BROADLAND_GATE_NORWICH_MAIN,4,15,5.501635555555556,22677.46941379123
GRIDSERVE_BROADLAND_GATE_NORWICH_MAIN,5,13,18.9789425,78019.4967714437
GRIDSERVE_BROADLAND_GATE_NORWICH_MAIN,6,7,22.43388888888889,122966.97457136365
LIGHTSOURCE_RENEWABLE_ENERGY_LTD_FDG_B_29_LAND_SOUTH_OF_BRICK_KILN_LANE_NORWICH_MAIN,0,19,101.0475,370421.8029308859
LIGHTSOURCE_RENEWABLE_ENERGY_LTD_FDG_B_29_LAND_SOUTH_OF_BRICK_KILN_LANE_NORWICH_MAIN,1,21,117.50916666666667,432342.4513205295
LIGHTSOURCE_RENEWABLE_ENERGY_LTD_FDG_B_29_LAND_SOUTH_OF_BRICK_KILN_LANE_NORWICH_MAIN,2,17,91.17166666666667,332141.68551042344
LIGHTSOURCE_RENEWABLE_ENERGY_LTD_FDG_B_29_LAND_SOUTH_OF_BRICK_KILN_LANE_NORWICH_MAIN,3,24,76.70694444444445,278542.24273935956
LIGHTSOURCE_RENEWABLE_ENERGY_LTD_FDG_B_29_LAND_SOUTH_OF_BRICK_KILN_LANE_NORWICH_MAIN,4,15,61.47777777777778,214383.92501976862
LIGHTSOURCE_RENEWABLE_ENERGY_LTD_FDG_B_29_LAND_SOUTH_OF_BRICK_KILN_LANE_NORWICH_MAIN,5,5,64.50527777777778,239850.5942183431
LIGHTSOURCE_RENEWABLE_ENERGY_LTD_FDG_B_29_LAND_SOUTH_OF_BRICK_KILN_LANE_NORWICH_MAIN,6,6,74.41583333333334,275273.84768831043
LOW_CARBON_ANM_PEMBERTON_SOLAR_FARM_RAYLEIGH,0,194,178.21525583333334,1256752.406485799
LOW_CARBON_ANM_PEMBERTON_SOLAR_FARM_RAYLEIGH,1,144,157.13444444444445,1412461.2467019146
LOW_CARBON_ANM_PEMBERTON_SOLAR_FARM_RAYLEIGH,2,189,206.11046249999998,1015479.4554374694
