hour,breach_count,curtailment_count,breach_locations,der_list,total_curtailed_kwh
2023-01-01 01:00:00+00:00,17,5,PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL,"DER1, DER9, DER35",30449.688778271146
2023-01-01 02:00:00+00:00,19,6,"PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL, MARCH GRID 132/33KV - SUM","DER25, DER27, DER24, DER10, DER12, DER11",58913.38913811525
2023-01-01 03:00:00+00:00,6,1,PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL,DER1,8.588368055555556
2023-01-01 04:00:00+00:00,1,6,PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL,"DER35, DER1, DER9",2001.565397406684
2023-01-01 06:00:00+00:00,3,7,PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL,"DER35, DER9, DER1",10366.686906155477
2023-01-01 08:00:00+00:00,3,0,PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL,,0.0
2023-01-01 10:00:00+00:00,1,0,PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL,,0.0
2023-01-02 20:00:00+00:00,0,2,,DER13,169938.63888888888
2023-01-03 10:00:00+00:00,14,4,"PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL, PETERBOROUGH CENTRAL 132/33KV - FARCET PRIMARY TO BURY PRIMARY 33KV OHL","DER35, DER1",10673.105462443033
2023-01-03 11:00:00+00:00,15,0,"PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL, PETERBOROUGH CENTRAL 132/33KV - FARCET PRIMARY TO BURY PRIMARY 33KV OHL",,0.0
2023-01-03 14:00:00+00:00,0,1,,DER11,1178.2222222222222
2023-01-03 15:00:00+00:00,3,5,"PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL, PETERBOROUGH CENTRAL 132/33KV - FARCET PRIMARY TO BURY PRIMARY 33KV OHL","DER1, DER35, DER9",206045.21911058848
2023-01-03 16:00:00+00:00,13,6,"PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL, PETERBOROUGH CENTRAL 132/33KV - FARCET PRIMARY TO BURY PRIMARY 33KV OHL",DER35,94914.57418614283
2023-01-03 17:00:00+00:00,4,0,PETERBOROUGH CENTRAL 132/33KV - FARCET PRIMARY TO BURY PRIMARY 33KV OHL,,0.0
2023-01-03 18:00:00+00:00,9,0,"PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL, PETERBOROUGH CENTRAL 132/33KV - FARCET PRIMARY TO BURY PRIMARY 33KV OHL",,0.0
2023-01-03 19:00:00+00:00,16,0,"PETERBOROUGH CENTRAL 132/33KV - FARCET PRIMARY TO BURY PRIMARY 33KV OHL, PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL",,0.0
2023-01-03 20:00:00+00:00,18,0,"PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL, PETERBOROUGH CENTRAL 132/33KV - FARCET PRIMARY TO BURY PRIMARY 33KV OHL",,0.0
2023-01-03 21:00:00+00:00,23,0,"PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL, PETERBOROUGH CENTRAL 132/33KV - FARCET PRIMARY TO BURY PRIMARY 33KV OHL",,0.0
2023-01-03 22:00:00+00:00,19,0,PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL,,0.0
2023-01-03 23:00:00+00:00,9,0,PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL,,0.0
2023-01-04 00:00:00+00:00,3,0,PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL,,0.0
2023-01-04 01:00:00+00:00,8,0,PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL,,0.0
2023-01-04 02:00:00+00:00,14,0,PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL,,0.0
2023-01-04 03:00:00+00:00,5,0,PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL,,0.0
2023-01-04 04:00:00+00:00,10,0,PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL,,0.0
2023-01-04 05:00:00+00:00,12,0,PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL,,0.0
2023-01-04 06:00:00+00:00,14,0,"PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL, PETERBOROUGH CENTRAL 132/33KV - FARCET PRIMARY TO BURY PRIMARY 33KV OHL",,0.0
2023-01-04 07:00:00+00:00,15,0,"PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL, PETERBOROUGH CENTRAL 132/33KV - FARCET PRIMARY TO BURY PRIMARY 33KV OHL",,0.0
2023-01-04 08:00:00+00:00,21,0,"PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL, PETERBOROUGH CENTRAL 132/33KV - FARCET PRIMARY TO BURY PRIMARY 33KV OHL",,0.0
2023-01-04 09:00:00+00:00,16,0,"PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL, PETERBOROUGH CENTRAL 132/33KV - FARCET PRIMARY TO BURY PRIMARY 33KV OHL",,0.0
