Export MPAN / MSID,Import MPAN / MSID,Customer Name,Customer Site,Address Line 1,Address Line 2,Town/ City,County,Postcode,Country,Location (X-coordinate):_Eastings (where data is held),Location (y-coordinate):_Northings (where data is held),Grid Supply Point,Bulk Supply Point,Primary,Point of Connection (POC)_Voltage (kV),Licence Area,Energy Source 1,Energy Conversion Technology 1,CHP Cogeneration (Yes/No),Storage Capacity 1 (MWh),Storage Duration 1 (Hours),Energy Source & Energy Conversion Technology 1 - Registered Capacity (MW),Energy Source 2,Energy Conversion Technology 2,CHP Cogeneration 2 (Yes/No),Storage Capacity 2 (MWh),Storage Duration 2 (Hours),Energy Source & Energy Conversion Technology 2 - Registered Capacity (MW),Energy Source 3,Energy Conversion Technology 3,CHP Cogeneration 3 (Yes/No),Storage Capacity 3 (MWh),Storage Duration 3 (Hours),Energy Source & Energy Conversion Technology 3 - Registered Capacity (MW),Flexible Connection (Yes/No),Connection Status,Already connected Registered Capacity (MW),Already Connected - Maximum Export Capacity (MW),Already Connected - Maximum Export Capacity (MVA),Already Connected - Maximum Import Capacity (MW),Already Connected - Maximum Import Capacity (MVA),Date Connected,Accepted to Connect Registered Capacity (MW),Accepted to Connect - Change to Maximum Export Capacity (MW),Accepted to Connect - Change to Maximum Export Capacity (MVA),Accepted to Connect - Change to Maximum Import Capacity (MW),Accepted to Connect - Change to Maximum Import Capacity (MVA),Date Accepted,Target Energisation Date,Distribution Service Provider (Y/N),Transmission Service Provider (Y/N),Reference,In a Connection Queue (Y/N),Distribution Reinforcement Reference,Transmission Reinforcement Reference,Last Updated,Longitude,Latitude,SpatialCoordinates_Customer,SiteFunctionalLocation,Primary Resource Type_Group
1014569292506,,A I A MANAGEMENT LTD,BENTWATERS BUS PK,RENDLESHAM,,Woodbridge,Suffolk,IP12 2TW,England,635372,254094,Bramford,Wickham Market Grid 33kV,Bentwaters Primary 11kV,33.0,Eastern Power Networks (EPN),Solar,Photovoltaic,,,,6.0,,,,,,,,,,,,,No,Connected,6.0,6.0,6.316,0.3,0.316,2016-10-01,,,,,,,,,,,,,,2021-06-14,1.43789569120143,52.134977779977,"52.134977779977, 1.43789569120143",EPN-S0000000H1040,Solar PV
1050000612807,,AEE Renewables plc,REYDON FARM,Quay Lane,,Wavenley,Suffolk,IP18 6SG,England,648735,278037,Bramford,Halesworth Grid 33kV,,33.0,Eastern Power Networks (EPN),Solar,Photovoltaic,,,,4.0,,,,,,,,,,,,,No,Connected,4.0,4.0,4.211,0.025,0.026,2014-04-11,,,,,,,,,,,,,,2020-11-13,1.65034856197974,52.3439504613943,"52.3439504613943, 1.65034856197974",EPN-S0000000D5053,Solar PV
1030078123184,,AGRI GEN LTD,Building 568,BENTWATERS PARK,Rendlesham,Woodbridge,Suffolk,IP12 2TW,England,634731,253561,Bramford,Wickham Market Grid 33kV,Bentwaters Primary 11kV,11.0,Eastern Power Networks (EPN),Biomass,Steam-gas turbine (CCGT),,,,3.4,,,,,,,,,,,,,No,Connected,3.4,3.4,3.579,,,2012-11-21,,,,,,,,,,,,,,2021-06-14,1.42817984844144,52.1304668612308,"52.1304668612308, 1.42817984844144",EPN-S0000000H1040,Biogas
1050000521735,,Solarcentury,HARDINGHAM FARM,HARDINGHAM FARM,HARDINGHAM,Norwich,Norfolk,NR9 4EG,England,605432,304682,Norwich Main,Earlham Grid 33kV,,33.0,Eastern Power Networks (EPN),Solar,Photovoltaic,,,,14.52,,,,,,,,,,,,,No,Connected,14.52,14.52,15.284,,,2013-12-06,,,,,,,,,,,,,,2020-11-13,1.03207081657714,52.6010736434847,"52.6010736434847, 1.03207081657714",EPN-S0000000D5076,Solar PV
1030083946097,,UK Solar Parks Ltd,SKYLARK MEADOW,CAXTON RD,,BOURN,Cambs,CB23 2SX,England,541586,257501,Eaton Socon,Little Barford 33kV,Bourn Primary 11kV,11.0,Eastern Power Networks (EPN),Solar,Photovoltaic,,,,5.0,,,,,,,,,,,,,No,Connected,5.0,5.0,5.263,,,2013-03-21,,,,,,,,,,,,,,2020-11-13,0.0701809003351538,52.1975689765787,"52.1975689765787, 0.0701809003351538",EPN-S0000000H4036,Solar PV
1030083804870,,Countryside Renewables Ltd,SITE OFF FORDHAM ROAD,NEWMARKET,,Newmarket,Suffolk,CB8 7LG,England,563070,267320,Burwell,Burwell Local Grid 33kV,Exning Primary 11kV,11.0,Eastern Power Networks (EPN),Solar,Photovoltaic,,,,5.0,,,,,,,,,,,,,No,Connected,5.0,5.0,5.263,,,2014-01-28,,,,,,,,,,,,,,2020-11-13,0.38897881407165,52.2798384581547,"52.2798384581547, 0.38897881407165",EPN-S0000000H4028,Solar PV
1050000563169,,DNO Consulting Limited,HIGHFIELDS FARM,KELVEDON,,Rayleigh,Essex,CO5 9BJ,England,587168,217202,Rayleigh,Abberton Grid 33kV,,33.0,Eastern Power Networks (EPN),Solar,Photovoltaic,,,,15.0,,,,,,,,,,,,,No,Connected,15.0,15.0,15.789,,,2014-03-27,,,,,,,,,,,,,,2020-11-13,0.714390424423896,51.8220883432208,"51.8220883432208, 0.714390424423896",EPN-S0000000D3031,Solar PV
1050000823467,,Redacted,KENNINGHALL FARM,NORTH LOPHAM RD,,Norwich,Norfolk,NR16 2DU,England,597890,285370,Bramford,Diss Grid 33kV,,33.0,Eastern Power Networks (EPN),Solar,Photovoltaic,,,,12.0,,,,,,,,,,,,,No,Connected,12.0,12.0,12.632,0.1,0.105,2015-03-30,,,,,,,,,,,,,,2021-06-14,0.909378509654375,52.4304821729,"52.4304821729, 0.909378509654375",EPN-S0000000D1014,Solar PV
1050000808868,,Energy & System Technical Ltd,CROYDON SOLAR FARM,CHURCH FARM,CLOPTON WAY,CROYDON,CAMBS,SG8 0DZ,England,531200,250200,Eaton Socon,Little Barford 33kV,,33.0,Eastern Power Networks (EPN),Solar,Photovoltaic,,,,14.0,,,,,,,,,,,,,No,Connected,14.0,14.0,14.737,,,2015-03-04,,,,,,,,,,,,,,2020-11-13,-0.0845044354452339,52.1345336500549,"52.1345336500549, -0.0845044354452339",EPN-S0000000D4055,Solar PV
1050000774118,,PUSH ENERGY (LANGENHOE) LIMITED,LANGENHOE HALL,HALL LANE,,LANGENHOE,Essex,CO5 7NA,England,602400,216800,Rayleigh,Abberton Grid 33kV,,33.0,Eastern Power Networks (EPN),Solar,Photovoltaic,,,,18.0,,,,,,,,,,,,,No,Connected,18.0,18.0,18.947,,,2015-03-04,,,,,,,,,,,,,,2020-12-14,0.93486986913524,51.8131740217537,"51.8131740217537, 0.93486986913524",EPN-S0000000D3031,Solar PV
1050000458205,,Prosolia UK Ltd,ROOKERY FARM,KIMBOLTON ROAD,,HUNTINGDON,CAMBS,PE28 0TR,England,562108,271874,Eaton Socon,Little Barford 33kV,Kimbolton Primary 11kV,33.0,Eastern Power Networks (EPN),Solar,Photovoltaic,,,,5.0,,,,,,,,,,,,,No,Connected,5.0,5.0,5.263,,,2013-09-29,,,,,,,,,,,,,,2020-11-13,0.377080611692176,52.3210290393546,"52.3210290393546, 0.377080611692176",EPN-S0000000H4049,Solar PV
1050000669539,,EcoGen Limited,FDG A-02 BOARDINGHOUSE,Knights End farm,,March,Cambs,PE15 0YN,England,538350,293680,Walpole,March Grid 33kV,,33.0,Eastern Power Networks (EPN),Wind onshore,Onshore wind turbines,,,,10.25,,,,,,,,,,,,,Yes,Connected,10.25,10.25,10.789,,,2015-01-01,,,,,,,,,,,,,,2020-11-13,0.0377687381469841,52.5234396935858,"52.5234396935858, 0.0377687381469841",EPN-S0000000D6065,Wind
1050000612950,,Sun & Alternative Technology Ltd,DOUBLE BANK LANE,,,HUNTINGDON,Cambs,PE28 5YL,England,520040,281620,Eaton Socon,Huntingdon Grid 33kV,,33.0,Eastern Power Networks (EPN),Solar,Photovoltaic,,,,9.0,,,,,,,,,,,,,No,Connected,9.0,9.0,9.474,0.05,0.053,2014-03-17,,,,,,,,,,,,,,2021-06-14,-0.236298156059351,52.4194094274227,"52.4194094274227, -0.236298156059351",EPN-S0000000D4068,Solar PV
1050000628170,,Switch 2 Renewable,EUSTON ESTATE,HONINGTON,,Bramford,Suffolk,IP24 2QP,England,589670,278187,Bramford,Thetford Grid 33kV,,33.0,Eastern Power Networks (EPN),Solar,Photovoltaic,,,,12.0,,,,,,,,,,,,,No,Connected,12.0,12.0,12.632,0.5,0.526,2014-03-29,,,,,,,,,,,,,,2020-11-13,0.784561487591492,52.3688939231939,"52.3688939231939, 0.784561487591492",EPN-S0000000D1056,Solar PV
1050000579266,,Solar Inc Ltd,MEADOW FARM,METHWOLD RD,,Walpole,Norfolk,IP26 4RB,England,572870,296980,Walpole,Swaffham Grid 33kV,,33.0,Eastern Power Networks (EPN),Solar,Photovoltaic,,,,5.0,,,,,,,,,,,,,No,Connected,5.0,5.0,5.263,,,2014-03-21,,,,,,,,,,,,,,2020-11-13,0.547797509804243,52.5432297861595,"52.5432297861595, 0.547797509804243",EPN-S0000000D6042,Solar PV
1050000811601,,Lumicity Ltd,OLD AIRFIELD,AIRFIELD LANE,,WESTON LONGVILLE,NORWICH,NR9 5JF,England,608590,315612,Norwich Main,Sall Grid 33kV,,33.0,Eastern Power Networks (EPN),Solar,Photovoltaic,,,,5.5,,,,,,,,,,,,,No,Connected,5.5,5.5,5.789,,,2014-02-11,,,,,,,,,,,,,,2024-02-14,1.08553497142654,52.6979868216303,"52.6979868216303, 1.08553497142654",EPN-S0000000D5023,Solar PV
1050000769084,,Viridor Waste Management Ltd,FOURTH DROVE EASTERN IND EST,,,PETERBOROUGH,Cambs,PE1 5UR,England,521657,299004,Walpole,Peterborough Central 33kV,Peterborough Central 11kV,11.0,Eastern Power Networks (EPN),Waste,Steam turbine (thermal power plant),,,,8.0,,,,,,,,,,,,,No,Connected,8.0,8.0,8.421,,,2015-07-23,,,,,,,,,,,,,,2020-11-13,-0.206186781730378,52.5752571194583,"52.5752571194583, -0.206186781730378",EPN-S0000000N6060,Biogas
1050001000238,,Belectric Solar Ltd,BEGDALE FARM,,,WISBECH,Cambs,PE14 0BE,England,545911,306684,Walpole,Walsoken Grid 33kV,Wisbech Railway Primary 11kV,11.0,Eastern Power Networks (EPN),Solar,Photovoltaic,,,,2.64,,,,,,,,,,,,,No,Connected,2.64,2.64,2.779,,,2015-11-23,,,,,,,,,,,,,,2020-11-13,0.154852965771371,52.6382903742578,"52.6382903742578, 0.154852965771371",EPN-S0000000H6049,Solar PV
1030085039971,,Harlaxton Engineering Services,STRADISHALL SOLAR FARM,STRADISHALL AIRFIELD,,Pelham,Suffolk,CB8 9YD,England,572495,252016,Pelham,Belchamp Grid 33kV,,33.0,Eastern Power Networks (EPN),Solar,Photovoltaic,,,,24.0,,,,,,,,,,,,,No,Connected,24.0,24.0,25.263,,,2013-12-10,,,,,,,,,,,,,,2020-11-13,0.519205374936204,52.1395091762513,"52.1395091762513, 0.519205374936204",EPN-S0000000D1011,Solar PV
Data not available,,Solarfields Ltd,INGHAM SOLAR FARM,SUFFOLK,,Bury St Edmunds,Suffolk,IP31 1NQ,England,585427,271405,Bramford,Thetford Grid 33kV,,33.0,Eastern Power Networks (EPN),Solar,Photovoltaic,,,,20.0,,,,,,,,,,,,,No,Connected,20.0,20.0,21.053,0.05,0.053,2022-08-02,,,,,,,,,,,,,,2022-09-14,0.718575141229306,52.3094424099871,"52.3094424099871, 0.718575141229306",EPN-S0000000D1056,Solar PV
